17:32:19:978 [ALWAYS]	GUDE Logging Started
17:32:19:979 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:32:19:979 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:32:19:979 [ERROR]	Initialize resume cache pointer failure
17:32:19:979 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
17:32:19:979 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:32:24:909 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
17:32:24:909 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:32:24:909 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:32:24:912 [ERROR]	Initialize resume cache pointer failure
17:32:24:912 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
17:32:24:912 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
